al.Manufacturer,al.Model Number,al.Product Type,al.IP Address,al.MAC Address,al.PO Number,acc.Account Name,Lifecycle Asset Type,lm.Building Name,lm.Room Name,lm.Room Code,Install Date,Replacement Year
Crestron,AM-3100,Wireless Presentation,10.88.39.155,c4.42.68.57.97.9a,,University of Utah,Classroom,BEHS,BEHS 112,112,"Jan 01, 2019",2026
AtlasIED,FAP-42,"Audio (Speaker, amplifier)",,,,University of Utah,Classroom,BEHS,BEHS 112,112,"Jan 01, 2019",2026
Crestron,AMP-225,"Audio (Speaker, amplifier)",,,,University of Utah,Classroom,BEHS,BEHS 112,112,"Jan 01, 2019",2026
Da-Lite,,Accessory,,,,University of Utah,Classroom,BEHS,BEHS 112,112,"Jan 01, 2019",2026
Samsung,QB85R,Display,,,,University Health Care,Conference Room,Helix,Small Conf 1C052,1C052,"Mar 28, 2024",2030
Samsung,QB85R,Display,,,,University Health Care,Conference Room,Helix,Medium Conf 1C202,1C202,"Mar 28, 2024",2030
Polycom,Trio C60,Audio (Microphone),,,,University Health Care,Conference Room,Helix,Meeting Room 5N134,5N134,"Mar 28, 2024",2030
Polycom,Expansion Microphone,Audio (Microphone),,,,University Health Care,Conference Room,Helix,Medium Conf 1C108,1C108,"Mar 28, 2024",2030
Crestron,DM-RMC-4KZ-100-C,"TX, RX, Scaler",,,,University Health Care,Conference Room,Helix,Large Conf 1C115,1C115,"Mar 28, 2024",2030
Polycom,Poly Studio X70 w/ TC8 Touchpanel,"Audio (Speaker, amplifier)",,,,University Health Care,Conference Room,Helix,Small Conf 2C106,2C106,"Mar 28, 2024",2030
Polycom,Trio C60,Audio (Microphone),,,,University Health Care,Conference Room,Helix,Medium Conf 2C050,2C050,"Mar 28, 2024",2030
